"region","name","alpha_D","alpha_H","beta17","beta18","beta19","beta20","beta21","beta22","beta23","beta24","eps","m_CHR","m_CHW","mu_D","mu_D_2","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","p_G_D","p_G_D_CHR","p_H","p_H_2","p_H_3","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC","p_NC_weekend","p_W_D","rho_pillar2_tests","strain_seed_date","strain_transmission_2"
"east_of_england","p_H",0.00211558483045111,-1.26794178877286e-05,2.50591758793257e-06,7.33736682416454e-06,3.03947891609151e-05,-2.34317636304954e-05,-5.17055626277982e-05,1.38683005166744e-06,2.61848885938162e-05,-5.43265064604581e-05,-0.000762355244954175,-7.20863105711369e-09,-2.02664647883183e-08,-0.000163249384333856,0.000618906443183684,-0.000344583198093957,-0.00062102612468359,0.000220957076666194,-7.84203551412109e-05,-0.000393038386856495,0.00166758486199743,-0.000767524112286381,-0.000255574710136285,0.000186120532720385,-0.0001447857129355,0.000113071996970226,0.000897399333148894,1.11328338499169e-06,-1.62348422562974e-06,-0.00126359414419899,3.24106368436791e-05,0.0286347364759044,0.000787511471672998
"east_of_england","p_H_2",-0.0033799899348597,1.84439084266868e-05,-8.56525291511935e-06,-6.43203055614729e-06,8.24238760468189e-06,-2.69320296433354e-05,1.45685283753602e-05,6.42414418840145e-06,-2.21602337280991e-06,-4.03630075421419e-05,-7.67055386585655e-05,1.84984968517481e-08,2.28533097583501e-08,0.000617473249817659,-0.000598961019674468,-0.000368851361605033,0.0006430310093779,-0.000317021943252507,0.00017919239728248,0.000882722823128598,-0.000767524112286381,0.00233647641628263,-0.00027116359149464,-0.000290166260001333,0.000536413442081609,-4.26909184684005e-05,-0.000426133475122431,-6.67404224892929e-07,1.79311720265259e-06,0.00227414956182214,-1.73721476170134e-05,-0.00789735015335481,0.000306645369878637
"east_of_england","p_H_3",-0.000276713032213374,-4.23546145373397e-06,-3.50159553009635e-05,7.01604360671427e-05,-7.5173153374445e-05,2.86044891550843e-05,2.00954773942198e-05,-7.20630621397745e-06,2.04954693855589e-05,4.29085584636936e-05,0.00149328513247052,7.34457461041318e-09,1.77671402644981e-08,-0.000262812901223465,0.000655943390389959,0.00188616751473521,-0.000342259638026697,-6.81539266557671e-05,0.000108864193741474,0.000711821986932282,-0.000255574710136285,-0.00027116359149464,0.00258432332233554,-3.16986841707086e-05,-0.000455284204481736,-2.39894962900017e-05,-0.000502224684578989,-7.16304821746955e-06,3.3587999011446e-07,-0.000615154932016306,6.37650419670831e-06,-0.0571186151955125,-0.000800485616356862
"east_of_england","p_H_D",0.000802280288768784,2.37116799809703e-06,2.6240150990999e-05,-2.60785255779916e-05,1.47574448172871e-05,-1.32626456224891e-06,-1.33261950555055e-05,-4.78050772162528e-05,7.55253212291171e-05,-2.64665992670708e-05,-0.000535402581842611,-4.09753032163914e-09,1.14846408881769e-08,-0.000650791144397301,-0.0010547617443975,-0.00117821755982151,-0.000348050356865144,0.000263066653867448,-9.11251136594996e-05,0.000295148982766934,0.000186120532720385,-0.000290166260001333,-3.16986841707086e-05,0.00134477304835997,0.000135886204337758,-2.40432429706539e-05,-0.000215493373748885,2.95153493969216e-06,-5.0518889948023e-07,-0.000467078868457335,7.98924940015238e-06,-0.00816622462345183,0.000183267688481312
"east_of_england","p_ICU",0.000162599649813623,3.51188946276373e-06,9.34364479328075e-06,-1.91630208288733e-05,1.41162649824136e-05,-2.14928325582489e-05,2.23526019169134e-05,5.80135832724825e-07,-1.37517626790623e-05,-3.03387109843052e-05,0.000295172162498764,-9.55116062900242e-09,1.5187175776398e-08,0.000163686689239372,-0.000560669034710192,-0.000505517781438579,0.000450843025196217,-0.000148346507687356,1.51862243388452e-05,0.000560527678583522,-0.0001447857129355,0.000536413442081609,-0.000455284204481736,0.000135886204337758,0.000783498612461197,-1.92747877059588e-06,0.000508188824355922,2.16486196850824e-06,1.56332645814165e-06,0.00124354168211259,-8.81726314528337e-06,0.00488772487384241,0.000119181738339786
"east_of_england","p_ICU_2",0.000427691410199278,-1.33817145428603e-06,-2.62015311710269e-07,6.9373803222135e-07,1.58419521028378e-06,-2.55954885520332e-06,-1.29336548772527e-05,3.56745782591015e-06,5.2412962957917e-06,-8.68583068356236e-06,-0.000157006570959192,-3.75790209184069e-09,-1.8368859832715e-09,8.71897068430469e-06,0.000260417088691038,3.53780773367398e-05,-5.91116643304863e-05,-9.3681260289585e-06,-2.10156277694332e-07,-0.000173749870397229,0.000113071996970226,-4.26909184684005e-05,-2.39894962900017e-05,-2.40432429706539e-05,-1.92747877059588e-06,4.1967057458169e-05,0.000224154558627561,3.48601843583977e-07,-2.65649856095789e-07,0.000131116510796115,3.07394384985929e-06,0.00513881413808217,0.000172676009043211
"east_of_england","p_ICU_D",0.00114969838090925,-2.77727250415264e-05,-2.92975073829442e-05,8.13949283630069e-05,-9.68625868072569e-05,-2.05085745940959e-05,-6.33236431505509e-05,-5.98934392728384e-05,7.52976354698678e-05,-0.000145627366197819,-0.00682164965548654,-3.88229418448555e-08,-3.29473142259386e-08,-0.00094510961121721,0.00243779783168878,0.00183930517860242,0.000189030342021835,-0.000365897097637932,0.00026498049860915,-0.000367995256417348,0.000897399333148894,-0.000426133475122431,-0.000502224684578989,-0.000215493373748885,0.000508188824355922,0.000224154558627561,0.014567755266691,1.3962957968257e-06,6.91568130854379e-07,0.000395774021285714,3.29070449356608e-05,-0.00444591678962808,0.00157616862094486
"east_of_england","p_NC",1.50861482822503e-05,2.72377513366102e-08,1.65887720121737e-07,-1.33051324278341e-07,1.45445143581972e-07,-1.17523078163079e-07,-2.3960908868524e-07,-1.88320787003205e-08,-7.49532111302126e-08,-1.51304660858395e-07,-9.06683299205591e-06,-9.54076189805765e-11,5.56780045982443e-11,-3.07199908300004e-06,-5.86689321977734e-06,-1.06306689037657e-05,3.21929323942573e-06,-2.64494857097688e-07,2.20435347852465e-07,-7.86351141555262e-06,1.11328338499169e-06,-6.67404224892929e-07,-7.16304821746955e-06,2.95153493969216e-06,2.16486196850824e-06,3.48601843583977e-07,1.3962957968257e-06,8.48250692750093e-08,3.01644004125e-09,-1.2480205494661e-05,4.25681809965318e-08,8.90780495447067e-05,6.25822320555147e-06
"east_of_england","p_NC_weekend",-7.51002891078568e-06,5.33995039837703e-08,7.91217510403085e-08,-6.27809046641396e-08,-3.34053267122985e-08,-8.04412520084016e-08,1.97194003993595e-07,-2.52964586170366e-07,2.32287005900083e-08,1.52130791455786e-08,-5.22416112149416e-06,8.03116259248491e-11,1.77401740413615e-11,4.64797807178969e-07,9.21630582537792e-08,7.56187712336236e-07,1.5634909675855e-06,-1.38717960471562e-06,7.19213312920413e-07,3.1326862585487e-06,-1.62348422562974e-06,1.79311720265259e-06,3.3587999011446e-07,-5.0518889948023e-07,1.56332645814165e-06,-2.65649856095789e-07,6.91568130854379e-07,3.01644004125e-09,4.24397569619412e-08,7.36308898572956e-07,-6.30790355697549e-08,2.81737359653323e-05,4.61416918654923e-07
"east_of_england","p_W_D",-0.00284566529946553,-7.12249489018028e-07,3.57910976855332e-05,-9.25089919902734e-05,0.000112860619494125,-3.65713152448957e-05,-3.37479392276603e-05,8.12967424439861e-05,9.76027929127531e-06,-9.32438116977396e-05,0.00711977813519771,-3.72370614933459e-09,3.40828633089153e-08,0.00112449794355501,0.00351866185657895,0.00118085438342696,0.000470153392940919,-0.000391658107186926,-0.000213141441910845,0.00133211775414802,-0.00126359414419899,0.00227414956182214,-0.000615154932016306,-0.000467078868457335,0.00124354168211259,0.000131116510796115,0.000395774021285714,-1.2480205494661e-05,7.36308898572956e-07,0.0148822713935152,-2.31708450526852e-05,0.0904536330242853,0.00057943684820372
