"date","age_group","age_low","age_up","region","n_positive","total_samples","assay"
"2020-11-13","15_64",15,64,"london",1,3,"euro_immun"
"2020-11-15","15_64",15,64,"london",28,279,"euro_immun"
"2020-11-20","15_64",15,64,"london",1,20,"euro_immun"
"2020-11-21","15_64",15,64,"london",0,1,"euro_immun"
"2020-11-22","15_64",15,64,"london",26,260,"euro_immun"
"2020-11-28","15_64",15,64,"london",2,33,"euro_immun"
"2020-11-29","15_64",15,64,"london",24,268,"euro_immun"
"2020-12-04","15_64",15,64,"london",0,5,"euro_immun"
"2020-12-06","15_64",15,64,"london",36,237,"euro_immun"
"2020-12-12","15_64",15,64,"london",21,261,"euro_immun"
"2020-12-14","15_64",15,64,"london",5,18,"euro_immun"
"2020-12-18","15_64",15,64,"london",1,20,"euro_immun"
"2020-12-20","15_64",15,64,"london",39,258,"euro_immun"
"2020-12-31","15_64",15,64,"london",31,222,"euro_immun"
"2021-01-04","15_64",15,64,"london",0,6,"euro_immun"
"2021-01-09","15_64",15,64,"london",0,3,"euro_immun"
"2021-01-10","15_64",15,64,"london",42,275,"euro_immun"
"2021-01-11","15_64",15,64,"london",0,1,"euro_immun"
"2021-01-15","15_64",15,64,"london",0,3,"euro_immun"
"2021-01-17","15_64",15,64,"london",33,194,"euro_immun"
"2021-01-24","15_64",15,64,"london",64,254,"euro_immun"
"2021-01-31","15_64",15,64,"london",62,310,"euro_immun"
"2021-02-06","15_64",15,64,"london",0,3,"euro_immun"
"2021-02-07","15_64",15,64,"london",63,271,"euro_immun"
"2021-02-13","15_64",15,64,"london",3,4,"euro_immun"
"2021-02-14","15_64",15,64,"london",66,273,"euro_immun"
"2021-02-21","15_64",15,64,"london",68,254,"euro_immun"
"2021-02-22","15_64",15,64,"london",5,17,"euro_immun"
"2020-03-26","65_119",65,119,"london",1,11,"euro_immun"
"2020-03-27","65_119",65,119,"london",0,12,"euro_immun"
"2020-04-09","65_119",65,119,"london",0,9,"euro_immun"
"2020-04-10","65_119",65,119,"london",0,11,"euro_immun"
"2020-04-12","65_119",65,119,"london",0,1,"euro_immun"
"2020-04-13","65_119",65,119,"london",2,10,"euro_immun"
"2020-04-30","65_119",65,119,"london",0,2,"euro_immun"
"2020-05-01","65_119",65,119,"london",2,21,"euro_immun"
"2020-05-02","65_119",65,119,"london",0,7,"euro_immun"
"2020-05-03","65_119",65,119,"london",1,8,"euro_immun"
"2020-05-08","65_119",65,119,"london",0,1,"euro_immun"
"2020-05-21","65_119",65,119,"london",2,17,"euro_immun"
"2020-05-22","65_119",65,119,"london",0,7,"euro_immun"
"2020-05-28","65_119",65,119,"london",0,1,"euro_immun"
"2020-05-29","65_119",65,119,"london",0,3,"euro_immun"
"2020-06-05","65_119",65,119,"london",2,19,"euro_immun"
"2020-06-07","65_119",65,119,"london",0,4,"euro_immun"
"2020-06-08","65_119",65,119,"london",3,22,"euro_immun"
"2020-06-19","65_119",65,119,"london",3,18,"euro_immun"
"2020-06-22","65_119",65,119,"london",3,30,"euro_immun"
"2020-06-26","65_119",65,119,"london",0,7,"euro_immun"
"2020-06-29","65_119",65,119,"london",0,1,"euro_immun"
"2020-07-03","65_119",65,119,"london",1,24,"euro_immun"
"2020-07-04","65_119",65,119,"london",0,1,"euro_immun"
"2020-07-05","65_119",65,119,"london",1,16,"euro_immun"
"2020-07-06","65_119",65,119,"london",1,24,"euro_immun"
"2020-07-17","65_119",65,119,"london",0,17,"euro_immun"
"2020-07-19","65_119",65,119,"london",0,20,"euro_immun"
"2020-07-20","65_119",65,119,"london",5,42,"euro_immun"
"2020-07-24","65_119",65,119,"london",1,8,"euro_immun"
"2020-07-26","65_119",65,119,"london",0,1,"euro_immun"
"2020-07-27","65_119",65,119,"london",0,1,"euro_immun"
"2020-07-30","65_119",65,119,"london",1,27,"euro_immun"
"2020-07-31","65_119",65,119,"london",1,38,"euro_immun"
"2020-08-02","65_119",65,119,"london",0,6,"euro_immun"
"2020-08-13","65_119",65,119,"london",0,23,"euro_immun"
"2020-08-14","65_119",65,119,"london",1,17,"euro_immun"
"2020-08-16","65_119",65,119,"london",0,31,"euro_immun"
"2020-08-19","65_119",65,119,"london",0,1,"euro_immun"
"2020-08-21","65_119",65,119,"london",0,1,"euro_immun"
"2020-08-24","65_119",65,119,"london",0,1,"euro_immun"
"2020-08-27","65_119",65,119,"london",4,34,"euro_immun"
"2020-08-28","65_119",65,119,"london",5,43,"euro_immun"
"2020-09-11","65_119",65,119,"london",3,35,"euro_immun"
"2020-09-12","65_119",65,119,"london",1,6,"euro_immun"
"2020-09-13","65_119",65,119,"london",0,5,"euro_immun"
"2020-09-16","65_119",65,119,"london",0,9,"euro_immun"
"2020-09-18","65_119",65,119,"london",0,9,"euro_immun"
"2020-09-25","65_119",65,119,"london",5,36,"euro_immun"
"2020-09-27","65_119",65,119,"london",0,7,"euro_immun"
"2020-09-28","65_119",65,119,"london",2,26,"euro_immun"
"2020-10-07","65_119",65,119,"london",1,47,"euro_immun"
"2020-10-08","65_119",65,119,"london",0,22,"euro_immun"
"2020-10-14","65_119",65,119,"london",0,1,"euro_immun"
"2020-10-15","65_119",65,119,"london",2,9,"euro_immun"
"2020-10-16","65_119",65,119,"london",0,1,"euro_immun"
"2020-10-21","65_119",65,119,"london",2,44,"euro_immun"
"2020-10-22","65_119",65,119,"london",1,14,"euro_immun"
"2020-10-23","65_119",65,119,"london",1,11,"euro_immun"
"2020-10-29","65_119",65,119,"london",0,5,"euro_immun"
"2020-10-31","65_119",65,119,"london",0,2,"euro_immun"
"2020-11-01","65_119",65,119,"london",0,10,"euro_immun"
"2020-11-07","65_119",65,119,"london",2,7,"euro_immun"
"2020-11-09","65_119",65,119,"london",0,1,"euro_immun"
"2020-11-15","65_119",65,119,"london",0,14,"euro_immun"
"2020-11-20","65_119",65,119,"london",0,8,"euro_immun"
"2020-11-22","65_119",65,119,"london",0,7,"euro_immun"
"2020-11-28","65_119",65,119,"london",0,4,"euro_immun"
"2020-11-29","65_119",65,119,"london",1,10,"euro_immun"
"2020-12-04","65_119",65,119,"london",0,1,"euro_immun"
"2020-12-06","65_119",65,119,"london",2,7,"euro_immun"
"2020-12-12","65_119",65,119,"london",1,8,"euro_immun"
"2020-12-14","65_119",65,119,"london",0,8,"euro_immun"
"2020-12-18","65_119",65,119,"london",0,1,"euro_immun"
"2020-12-20","65_119",65,119,"london",0,11,"euro_immun"
"2020-12-31","65_119",65,119,"london",4,40,"euro_immun"
"2021-01-04","65_119",65,119,"london",0,2,"euro_immun"
"2021-01-10","65_119",65,119,"london",2,8,"euro_immun"
"2021-01-17","65_119",65,119,"london",4,7,"euro_immun"
"2021-01-24","65_119",65,119,"london",3,11,"euro_immun"
"2021-01-31","65_119",65,119,"london",3,17,"euro_immun"
"2021-02-07","65_119",65,119,"london",1,2,"euro_immun"
"2021-02-14","65_119",65,119,"london",5,5,"euro_immun"
"2021-02-21","65_119",65,119,"london",6,9,"euro_immun"
"2021-02-22","65_119",65,119,"london",2,2,"euro_immun"
